№,Объект / Object,Локация/ Location,Категория,Число br / Quantity of br,Срок размещения / Listing period,"Средняя цена юнита за сутки, $ / ADR",Загрузка средняя фактическая / Actual average occupancy,Выручка историческая / Historical value,"Цена за месяц, $","Площадь, м2",Вид,P,Ресторан/Restraunt,Бассейн / Pool,Кухня / Kitchen,Коворкинг/coworking,Руфтоп/ rooftop,"Балкон, терасса/ Balcony or terrace",камера хранения/ storage room,Рейтинг отзывов,Источник данных
1,Lumbung Sari Sekumpul Fiji Waterfalls,ссылка на карту,Barn,1,Срок размещения,Средняя цена юнита за сутки,Загрузка средняя фактическая,Выручка историческая,Цена за месяц,,,Free parking on premises,,,kitchen,,,,Safe,0.0,Источник данных
2,BALIÀN JUNGLE  SURF  ACCOMODATION 3,ссылка на карту,Bungalow,1,Срок размещения,Средняя цена юнита за сутки,Загрузка средняя фактическая,Выручка историческая,Цена за месяц,,,Free parking on premises,,1.0,kitchen,Dedicated workspace,,"Outdoor dining area, Backyard",Safe,2.0,Источник данных
3,Kadek homeatay on the beach,ссылка на карту,Home,4,Срок размещения,Средняя цена юнита за сутки,Загрузка средняя фактическая,Выручка историческая,Цена за месяц,,,Free parking on premises,,5.0,kitchen,Dedicated workspace,,Outdoor dining area,Safe,2.33,Источник данных
4,apartament (Ungasan) kecamatan kuta selatam.,ссылка на карту,Place,1,Срок размещения,Средняя цена юнита за сутки,Загрузка средняя фактическая,Выручка историческая,Цена за месяц,,,Free parking on premises,,1.0,kitchen,,,,,4.67,Источник данных
5,"Low price guest house, comfy, relaxing",ссылка на карту,House,1,Срок размещения,Средняя цена юнита за сутки,Загрузка средняя фактическая,Выручка историческая,Цена за месяц,,"Garden view, Mountain view",Free parking on premises,,1.0,kitchen,Dedicated workspace,,"Outdoor dining area, Patio or balcony","Lockbox, Safe",1.0,Источник данных
6,Astiti Graha Cottage,ссылка на карту,Guesthouse,1,Срок размещения,Средняя цена юнита за сутки,Загрузка средняя фактическая,Выручка историческая,Цена за месяц,,,Free parking on premises,,1.0,,,,,Safe,0.0,Источник данных
7,Ubud Snug 1BR Studio,ссылка на карту,Place,1,Срок размещения,Средняя цена юнита за сутки,Загрузка средняя фактическая,Выручка историческая,Цена за месяц,,,Free parking on premises,,1.0,kitchen,Dedicated workspace,,,,0.0,Источник данных
8,Nike house,ссылка на карту,Guesthouse,1,Срок размещения,Средняя цена юнита за сутки,Загрузка средняя фактическая,Выручка историческая,Цена за месяц,,,Street parking,,1.0,,,,,,4.43,Источник данных
9,trisna garden room upstair 2,ссылка на карту,Place,1,Срок размещения,Средняя цена юнита за сутки,Загрузка средняя фактическая,Выручка историческая,Цена за месяц,,"Courtyard view, Garden view, Park view",Free parking on premises,,1.0,kitchen,Dedicated workspace,,"Outdoor dining area, Patio or balcony, Backyard",Safe,3.67,Источник данных
10,Head Priest and Balinese Healer,ссылка на карту,Guesthouse,1,Срок размещения,Средняя цена юнита за сутки,Загрузка средняя фактическая,Выручка историческая,Цена за месяц,,,Free parking on premises,,1.0,kitchen,,,,Safe,0.0,Источник данных
